,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2021-06-03,245.22,246.34,243.0,245.71,245.71,25307711,0.0,1.0
1,2021-06-02,248.125,249.27,245.84,247.3,247.3,19406705,0.0,1.0
2,2021-06-01,251.23,251.29,246.96,247.4,247.4,23213310,0.0,1.0
3,2021-05-28,250.995,252.08,249.56,249.68,249.68,18274942,0.0,1.0
4,2021-05-27,251.17,251.48,249.25,249.31,249.31,24426244,0.0,1.0
5,2021-05-26,251.43,252.94,250.75,251.49,251.49,17771600,0.0,1.0
6,2021-05-25,251.769,252.75,250.82,251.72,251.72,17704303,0.0,1.0
7,2021-05-24,247.785,251.16,247.51,250.78,250.78,21411547,0.0,1.0
8,2021-05-21,247.565,248.33,244.74,245.17,245.17,21863058,0.0,1.0
9,2021-05-20,243.96,247.95,243.86,246.48,246.48,21800716,0.0,1.0
10,2021-05-19,239.31,243.23,238.6,243.12,243.12,25739807,0.56,1.0
11,2021-05-18,246.27,246.41,242.9,243.08,242.521378858,20167975,0.0,1.0
12,2021-05-17,246.55,246.59,243.52,245.18,244.616552856,24970168,0.0,1.0
13,2021-05-14,245.575,249.18,245.49,248.15,247.579727511,23901081,0.0,1.0
14,2021-05-13,241.8,245.6,241.42,243.03,242.471493762,29624298,0.0,1.0
15,2021-05-12,242.165,244.38,238.07,239.0,238.450755089,36684370,0.0,1.0
16,2021-05-11,244.55,246.6,242.57,246.23,245.664139856,33641589,0.0,1.0
17,2021-05-10,250.87,251.73,247.12,247.18,246.611956664,29299890,0.0,1.0
18,2021-05-07,252.15,254.3,251.17,252.46,251.879822718,27032912,0.0,1.0
19,2021-05-06,246.45,249.86,244.69,249.73,249.15609652,26491085,0.0,1.0
20,2021-05-05,249.06,249.5,245.82,246.47,245.903588313,21901325,0.0,1.0
21,2021-05-04,250.97,251.21,245.76,247.79,247.220554826,32756052,0.0,1.0
22,2021-05-03,253.4,254.35,251.12,251.86,251.281201576,19626568,0.0,1.0
23,2021-04-30,249.74,253.08,249.6,252.18,251.600466185,30945098,0.0,1.0
24,2021-04-29,255.46,256.1,249.0,252.51,251.929707814,40589023,0.0,1.0
25,2021-04-28,256.078,256.5399,252.95,254.56,253.974996717,46903119,0.0,1.0
26,2021-04-27,261.585,263.19,260.12,261.97,261.367967827,31014213,0.0,1.0
27,2021-04-26,261.66,262.435,260.17,261.55,260.948933027,19763346,0.0,1.0
28,2021-04-23,257.88,261.51,257.27,261.15,260.549852265,21499286,0.0,1.0
29,2021-04-22,260.21,261.78,255.64,257.17,256.578998687,25606152,0.0,1.0
30,2021-04-21,258.94,260.68,257.25,260.58,259.98116218,24030383,0.0,1.0
31,2021-04-20,257.82,260.2,256.84,258.26,257.666493762,19722875,0.0,1.0
32,2021-04-19,260.19,261.48,257.821,258.74,258.145390676,23209260,0.0,1.0
33,2021-04-16,259.47,261.0,257.6014,260.74,260.140794485,24878582,0.0,1.0
34,2021-04-15,257.931,259.93,257.73,259.5,258.903644123,25627481,0.0,1.0
35,2021-04-14,257.475,258.83,255.16,255.59,255.002629678,23070938,0.0,1.0
36,2021-04-13,257.2573,259.19,256.83,258.49,257.8959652,23837469,0.0,1.0
37,2021-04-12,254.71,257.67,254.62,255.91,255.321894288,27148668,0.0,1.0
38,2021-04-09,252.87,255.99,252.44,255.85,255.262032173,24326833,0.0,1.0
