,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2021-06-01,26.88,26.97,26.47,26.6,26.6,60990960,0.0,1.0
1,2021-05-31,26.95,27.03,26.53,26.7,26.7,56625080,0.0,1.0
2,2021-05-28,27.16,27.43,26.8,26.95,26.95,60260470,0.0,1.0
3,2021-05-27,27.19,27.36,26.98,27.16,27.16,54203470,0.0,1.0
4,2021-05-26,26.75,27.48,26.71,27.18,27.18,81702930,0.0,1.0
5,2021-05-25,26.22,26.84,26.15,26.76,26.76,72105810,0.0,1.0
6,2021-05-24,26.48,26.48,26.11,26.19,26.19,72921240,0.0,1.0
7,2021-05-21,26.96,26.99,26.5,26.57,26.57,49577010,0.0,1.0
8,2021-05-20,26.66,27.0,26.42,26.97,26.97,45749850,0.0,1.0
9,2021-05-19,27.3,27.35,26.7,26.77,26.77,51506770,0.0,1.0
10,2021-05-18,27.18,27.37,26.97,27.29,27.29,43748590,0.0,1.0
11,2021-05-17,27.03,27.4,26.82,27.12,27.12,58204840,0.0,1.0
12,2021-05-14,26.88,27.11,26.62,27.07,27.07,62463020,0.0,1.0
13,2021-05-13,26.8,26.97,26.69,26.88,26.88,55027700,0.0,1.0
14,2021-05-12,27.4,27.4,26.88,27.03,27.03,81036370,0.0,1.0
15,2021-05-11,27.31,27.73,27.1,27.62,27.62,36885550,0.0,1.0
16,2021-05-10,27.99,28.0,27.28,27.54,27.54,58966730,0.0,1.0
17,2021-05-07,27.91,28.35,27.88,28.0,28.0,49128930,0.0,1.0
18,2021-05-06,27.87,28.15,27.73,27.92,27.92,48997550,0.0,1.0
19,2021-05-05,28.17,28.17,28.17,28.17,28.17,0,0.0,1.0
20,2021-05-04,28.17,28.17,28.17,28.17,28.17,0,0.0,1.0
21,2021-04-30,28.19,28.47,27.93,28.17,28.17,77713350,0.0,1.0
22,2021-04-29,27.78,27.89,27.5,27.89,27.89,62386250,0.0,1.0
23,2021-04-28,27.94,27.98,27.58,27.68,27.68,47612050,0.0,1.0
24,2021-04-27,27.64,27.95,27.5,27.93,27.93,51107920,0.0,1.0
25,2021-04-26,28.0,28.2,27.6,27.7,27.7,85945040,0.0,1.0
26,2021-04-23,28.5,28.55,27.92,28.09,28.09,129256860,0.0,1.0
27,2021-04-22,28.82,29.08,28.64,29.02,29.02,56002610,0.0,1.0
28,2021-04-21,28.58,28.72,28.17,28.65,28.65,55173430,0.0,1.0
29,2021-04-20,28.8,28.92,28.68,28.73,28.73,52977440,0.0,1.0
30,2021-04-19,28.83,29.07,28.45,29.0,29.0,61989380,0.0,1.0
